상품번호,제목,부제목,저자,출판사,출간일,판매가,정가,평점,리뷰수,판매지수
144979816,질문으로 답을 찾는 인공지능 윤리 수업,재미있는 이야기로 풀어낸 에피소드 X 탐구 질문,박형빈,한언,2025년 04월,18900,21000,9.8,11,4515
91165789,비전공자를 위한 이해할 수 있는 IT 지식,IT시대의 필수 교양서,최원영,티더블유아이지,2020년 07월,15120,16800,8.8,170,5754
167882567,[독서모임] 『2026 AI 교육 트렌드』 저자 7인 강연회,,박소이,길벗,2025년 12월,5000,0,0,0,2061
144073133,공여사들의 엑셀 혁명 with 챗GPT,암기 NO! 복잡 NO! 압도적 실용성 YES! 실무 엑셀 기본기+챗GPT 활용법,공여사들,한빛미디어,2025년 03월,18900,21000,9.8,43,9333
146828240,핸즈온 LLM,"프롬프트 엔지니어링부터 임베딩, 시맨틱 검색, 미세 튜닝까지, 손에 잡히는 LLM 개념",제이 알아마르,한빛미디어,2025년 06월,34200,38000,9.7,21,6861
118685906,이것이 C#이다,단계별 학습으로 탄탄한 기본기를 다져줄 C# 입문서,박상현,한빛미디어,2023년 05월,32400,36000,9.1,28,4254
113791780,코딩 자율학습 나도코딩의 C 언어 입문,C 언어의 완공을 돕는 프로그래밍 자습서,나도코딩,길벗,2022년 10월,23400,26000,9.9,115,6744
167495694,Llama.cpp 실전 가이드,,KR.UM,콩콩 컴퍼니,2025년 11월,19300,19300,0,0,465
160603535,핸즈온 바이브 코딩,요구사항 정의부터 리팩터링까지 직관이 아닌 원리로 익히는 실전 가이드,정도현,한빛미디어,2025년 10월,19800,22000,9.6,30,3051
113485068,후니의 쉽게 쓴 시스코 네트워킹,,진강훈,성안당,2024년 08월,38700,43000,9.4,7,4956
152379887,한 걸음 앞선 개발자가 지금 꼭 알아야 할 클로드 코드,"실무에서 검증된 개발 방식 그대로, 매일 1시간 4주 Claude Code 에이전트 실전 훈련!",조훈,길벗,2025년 09월,23400,26000,8.9,18,7998
151980353,AI 광고 제작,"비용 걱정 No, 하루 1시간에 완성! 숏폼 홍보 영상부터 브랜드 광고까지",문수민,길벗,2025년 09월,24300,27000,9.9,38,2922
146874665,테디노트의 랭체인을 활용한 RAG 비법노트 : 기본편,8단계 RAG 파이프라인으로 LLM 성능을 끌어올리는 RAG 기본부터 실제 챗봇 제작까지,이경록,리코멘드,2025년 05월,30600,34000,10.0,1,7518
151170115,챗GPT와 엑셀로 만드는 주식 & 암호화폐 자동매매 시스템,엑셀 VBA와 AI로 시작하는 금융 프로그래밍,설근민,제이펍,2025년 08월,22500,25000,10.0,6,2316
167475617,회사에서 바로 통하는 파워포인트 FOR STARTERS,"왕초보가 시작하는 파워포인트 입문서, AI 도구 활용, 모든 버전 사용 가능",이화진,한빛미디어,2025년 12월,15300,17000,10.0,19,1404
147626022,생성형 AI 활용 백과사전,"ChatGPT, 코파일럿, 제미나이, 클로드, DALL-E 3, 딥엘, 미드저니, 스테이블 디퓨전, Suno AI, 소라 등 주요 생성형 AI를 효과적으로 사용하는 100가지 활용법!",다쿠치 카즈히로,길벗,2025년 06월,21600,24000,9.7,49,5745
162116171,그림으로 이해하는 챗GPT 구조와 기술,,나카타니 슈요,길벗,2025년 11월,21600,24000,9.9,17,1662
150317607,AI 자동화의 끝판왕! n8n을 활용한 업무혁신,,홍용기,BOOKK(부크크),2025년 07월,36000,36000,5.3,3,3051
169704757,직장인을 위한 AI 실무 엑셀,[최신개정] AI로 실무 완벽 대응! 실전! 비즈니스 엑셀 완전 정복,선양미,길벗,2025년 12월,22500,25000,0,0,972
169090563,프로그램을 읽는 기술,,이와마츠 히로시,길벗,2025년 12월,18000,20000,10.0,2,798
